T,T1,regime,group,thscode,name,industry,concept,con_pct,con_lu_cnt,score,factors,reason,catalyst,tech,watch,watch_range,risk,priority
2026-03-05,2026-03-06,normal,nlu,600869.SH,远东股份,电网设备,柔性直流输电,4.312035661218427,5.0,91.50390625,"{'sector': 0.97015625, 'trend': 0.8, 'pos': 0.85, 'mom': 1.0, 'liq': 1.0, 'recog': 1.0}","非涨停组: 趋势结构多头(MA20>MA60且上行), 处于活跃板块[电网设备](当日涨幅分位98%, 板块涨停8家) 驱动概念[柔性直流输电] 距60日高点13.0% 20日涨幅6.2%",板块[电网设备]轮动延续/资金承接/概念热度,收盘13.45 MA20上方 量比1.01,"次日开盘[-2%,+3%]为观察区间; 收盘站上max(开盘,昨收)视为买点触发",昨收13.45,板块退潮补跌/概念退潮/资金承接不足/持续阴跌,1
2026-03-05,2026-03-06,normal,nlu,002364.SZ,中恒电气,其他电源设备,特高压,3.0821283426214485,5.0,87.78515625,"{'sector': 0.94140625, 'trend': 0.8, 'pos': 0.85, 'mom': 0.7, 'liq': 1.0, 'recog': 1.0}","非涨停组: 趋势结构多头(MA20>MA60且上行), 处于活跃板块[其他电源设备](当日涨幅分位97%, 板块涨停3家) 驱动概念[特高压] 距60日高点11.3% 20日涨幅1.3%",板块[其他电源设备]轮动延续/资金承接/概念热度,收盘32.76 MA20上方 量比0.84,"次日开盘[-2%,+3%]为观察区间; 收盘站上max(开盘,昨收)视为买点触发",昨收32.76,板块退潮补跌/概念退潮/资金承接不足/持续阴跌,1
2026-03-06,2026-03-09,normal,lu,600590.SH,泰豪科技,其他电源设备,电力物联网,2.965428698378103,4.0,90.0,"{'theme': 0.6, 'concept': 1.0, 'ladder': 0.9, 'seal': 1.0, 'time': 1.0, 'liq': 1.0, 'struct': 0.6}",涨停组: 氢能源方向/电力物联网 2板 封单比49.1% 涨停时间09:30 题材内涨停4家 概念内涨停4家 驱动概念[电力物联网] 成交5.0亿,氢能源+军工电源+扭亏为盈,2连板 换手承接量比0.44,"次日竞价与开盘承接: 高开幅度观察区间[-2%,+5%]; 开盘涨幅≤+3%且不破昨收-3%视为买点触发",昨收16.18,高位情绪兑现/次日低开大幅回撤/炸板断板/概念退潮,1
2026-03-06,2026-03-09,normal,lu,605286.SH,同力天启,专用设备,虚拟电厂,2.5868096657963857,8.0,86.0,"{'theme': 0.8, 'concept': 1.0, 'ladder': 0.55, 'seal': 1.0, 'time': 1.0, 'liq': 0.6, 'struct': 1.0}",涨停组: 算电协同方向/虚拟电厂 1板 封单比18.9% 涨停时间09:32 题材内涨停5家 概念内涨停8家 驱动概念[虚拟电厂] 成交2.1亿,算电协同+储能中标+电梯部件,1连板 换手承接量比2.26,"次日竞价与开盘承接: 高开幅度观察区间[-2%,+5%]; 开盘涨幅≤+3%且不破昨收-3%视为买点触发",昨收42.49,高位情绪兑现/次日低开大幅回撤/炸板断板/概念退潮,1
2026-03-06,2026-03-09,normal,nlu,600367.SH,红星发展,化学原料,西部大开发,1.4942301735010988,11.0,95.1640625,"{'sector': 0.9565625, 'trend': 1.0, 'pos': 0.85, 'mom': 1.0, 'liq': 1.0, 'recog': 1.0}","非涨停组: 趋势结构多头(MA20>MA60且上行), 处于活跃板块[化学原料](当日涨幅分位96%, 板块涨停5家) 驱动概念[西部大开发] 距60日高点10.0% 20日涨幅13.2%",板块[化学原料]轮动延续/资金承接/概念热度,收盘23.81 MA20上方 量比0.78,"次日开盘[-2%,+3%]为观察区间; 收盘站上max(开盘,昨收)视为买点触发",昨收23.81,板块退潮补跌/概念退潮/资金承接不足/持续阴跌,1
2026-03-06,2026-03-09,normal,nlu,000792.SZ,盐湖股份,农化制品,化肥,2.998593198493804,4.0,88.6875,"{'sector': 0.9475, 'trend': 1.0, 'pos': 0.6, 'mom': 1.0, 'liq': 1.0, 'recog': 1.0}","非涨停组: 趋势结构多头(MA20>MA60且上行), 处于活跃板块[农化制品](当日涨幅分位98%, 板块涨停3家) 驱动概念[化肥] 距60日高点7.3% 20日涨幅7.6%",板块[农化制品]轮动延续/资金承接/概念热度,收盘36.79 MA20上方 量比0.67,"次日开盘[-2%,+3%]为观察区间; 收盘站上max(开盘,昨收)视为买点触发",昨收36.79,板块退潮补跌/概念退潮/资金承接不足/持续阴跌,1
2026-03-09,2026-03-10,defensive,lu,002015.SZ,协鑫能科,电力,算力租赁,2.602662861762095,12.0,89.5,"{'theme': 0.2, 'concept': 1.0, 'ladder': 0.9, 'seal': 0.7, 'time': 1.0, 'liq': 1.0, 'struct': 1.0}",涨停组: 算电协同方向/算力租赁 2板 封单比12.4% 涨停时间09:32 题材内涨停2家 概念内涨停12家 驱动概念[算力租赁] 成交19.6亿,算电协同+虚拟电厂+分布式光伏,2连板 换手承接量比0.85,"次日竞价与开盘承接: 高开幅度观察区间[-2%,+5%]; 开盘涨幅≤+3%且不破昨收-3%视为买点触发",昨收17.18,高位情绪兑现/次日低开大幅回撤/炸板断板/概念退潮,1
2026-03-09,2026-03-10,defensive,lu,002575.SZ,群兴玩具,综合,算力租赁,2.602662861762095,12.0,84.0,"{'theme': 0.8, 'concept': 1.0, 'ladder': 0.55, 'seal': 1.0, 'time': 0.7, 'liq': 1.0, 'struct': 1.0}",涨停组: 算力租赁方向/算力租赁 1板 封单比25.0% 涨停时间11:06 题材内涨停5家 概念内涨停12家 驱动概念[算力租赁] 成交7.6亿,算力租赁+腾讯合作+酒类销售,1连板 换手承接量比1.74,"次日竞价与开盘承接: 高开幅度观察区间[-2%,+5%]; 开盘涨幅≤+3%且不破昨收-3%视为买点触发",昨收8.02,高位情绪兑现/次日低开大幅回撤/炸板断板/概念退潮,1
2026-03-09,2026-03-10,defensive,nlu,600968.SH,海油发展,油气开采及服务,绿色电力,0.267003015253775,11.0,90.64453125,"{'sector': 0.7757812500000001, 'trend': 1.0, 'pos': 0.85, 'mom': 1.0, 'liq': 1.0, 'recog': 1.0}","非涨停组: 趋势结构多头(MA20>MA60且上行), 处于活跃板块[油气开采及服务](当日涨幅分位97%, 板块涨停0家) 驱动概念[绿色电力] 距60日高点13.1% 20日涨幅12.0%",板块[油气开采及服务]轮动延续/资金承接/概念热度,收盘4.85 MA20上方 量比0.93,"次日开盘[-2%,+3%]为观察区间; 收盘站上max(开盘,昨收)视为买点触发",昨收4.85,板块退潮补跌/概念退潮/资金承接不足/持续阴跌,1
2026-03-10,2026-03-11,normal,lu,603017.SH,中衡设计,建筑装饰,数据中心(AIDC),2.5703893888037177,22.0,85.0,"{'theme': 0.6, 'concept': 1.0, 'ladder': 0.55, 'seal': 1.0, 'time': 1.0, 'liq': 0.6, 'struct': 1.0}",涨停组: 商业航天方向/数据中心(AIDC) 1板 封单比37.2% 涨停时间09:44 题材内涨停4家 概念内涨停22家 驱动概念[数据中心(AIDC)] 成交1.8亿,商业航天+低空经济+工程设计,1连板 换手承接量比1.25,"次日竞价与开盘承接: 高开幅度观察区间[-2%,+5%]; 开盘涨幅≤+3%且不破昨收-3%视为买点触发",昨收13.48,高位情绪兑现/次日低开大幅回撤/炸板断板/概念退潮,1
